Snakes on a Plane,13806311,3555,34020814,8/18/06
Jimmy Neutron: Boy Genius,13832786,3139,80936232,12/21/01
Home on the Range,13880771,3047,50030461,4/2/04
The Love Guru,13907130,3012,32235793,6/20/08
Racing Stripes,13920052,3185,49772522,1/14/05
Red Riding Hood,14005335,3030,37662162,3/11/11
Tooth Fairy,14010409,3344,60022256,1/22/10
The Heartbreak Kid,14022105,3229,36787257,10/5/07
The Family (2013),14034764,3091,36918811,9/13/13
Miss Congeniality 2: Armed and Fabulous,14043215,3233,48478006,3/24/05
Agent Cody Banks,14064317,3369,47938330,3/14/03
ParaNorman,14087050,3429,56003051,8/17/12
Saw VI,14118444,3036,27693292,10/23/09
Scary Movie 5,14157367,3402,32015787,4/12/13
Blue Crush,14169455,3002,40390647,8/16/02
E.T. (20th Anniversary),14223110,3007,35306015,3/22/02
Blended,14284031,3555,46294610,5/23/14
Green Zone,14309295,3003,35053660,3/12/10
Fun with Dick and Jane,14383515,3056,110332737,12/21/05
Percy Jackson: Sea of Monsters,14401054,3031,68559554,8/7/13
Gridiron Gang,14414630,3504,38432823,9/15/06
Rock of Ages,14437269,3470,38518613,6/15/12
Life as We Know It,14506464,3150,53374681,10/8/10
The Prince of Egypt,14524321,3118,101413188,12/18/98
Parental Guidance,14554053,3367,77267296,12/25/12
Sex Tape,14608152,3062,38543473,7/18/14
Star Wars: The Clone Wars,14611273,3452,35161554,8/15/08
Diary of a Wimpy Kid: Dog Days,14623599,3391,49008662,8/3/12
Rules of Engagement,15011181,3155,61335230,4/7/00
The Tuxedo,15051028,3022,50547998,9/27/02
Semi-Pro,15075114,3121,33479698,2/29/08
The Brothers Grimm,15092079,3087,37916267,8/26/05
Stuart Little 2,15115152,3255,64956806,7/19/02
King Arthur,15193907,3086,51882244,7/7/04
Jack Reacher,15210156,3352,80070736,12/21/12
Jeepers Creepers 2,15269324,3124,35667218,8/29/03
Ghosts of Girlfriends Past,15411434,3175,55250026,5/1/09
Jack Ryan: Shadow Recruit,15451981,3387,50577412,1/17/14
Horrible Bosses 2,15457418,3375,27474766,11/26/14
Doom,15488870,3044,28212337,10/21/05
Footloose (2011),15556113,3549,51802742,10/14/11
Sky Captain and the World of Tomorrow,15580278,3170,37762677,9/17/04
Free Birds,15805237,3736,55750480,11/1/13
Barnyard: The Original Party Animals,15820864,3311,72637803,8/4/06
Dolphin Tale 2,15873397,3656,41974709,9/12/14
The Expendables 3,15879645,3221,39322544,8/15/14
Escape From Planet Earth,15891055,3288,57012977,2/15/13
Wallace and Gromit: The Curse of the Were-Rabbit,16025987,3645,56110897,10/7/05
Carrie (2013),16101552,3157,35266619,10/18/13
Legend of the Guardians: The Owls of Ga'Hoole,16112211,3575,55675313,9/24/10
Red Eye,16167662,3079,57891803,8/19/05
Out of Time,16185316,3076,41088845,10/3/03
Righteous Kill,16288361,3152,40081410,9/12/08
Abraham Lincoln: Vampire Hunter,16306974,3108,37519139,6/22/12
The Shaggy Dog,16310058,3501,61123569,3/10/06
The Legend of Zorro,16328506,3520,46464023,10/28/05
Last Vegas,16334566,3065,63914167,11/1/13
Halloween II (2009),16349565,3025,33392973,8/28/09
Just Like Heaven,16408718,3508,48318130,9/16/05
Yogi Bear,16411322,3515,100246011,12/17/10
RV,16414767,3639,71726025,4/28/06
Transporter 2,16540720,3303,43095856,9/2/05
Spy Kids 2: The Island of Lost Dreams,16711716,3307,85846429,8/7/02
Catwoman,16728411,3117,40202379,7/23/04
A Million Ways to Die in the West,16797385,3158,43139300,5/30/14
Old Dogs,16894511,3425,49492060,11/25/09
Muppets Most Wanted,17005126,3194,51183113,3/21/14
The Book of Life (2014),17005218,3071,48405363,10/17/14
The Three Stooges,17010125,3477,44338224,4/13/12
Hotel for Dogs,17012212,3271,73034460,1/16/09
Gangster Squad,17070347,3103,46000903,1/11/13
Edge of Darkness,17214384,3066,43313890,1/29/10
The Man in the Iron Mask,17271450,3101,56968902,3/13/98
The Boxtrolls,17275239,3464,49947884,9/26/14
The Internship,17325307,3366,44672764,6/7/13
Into The Storm,17346427,3434,47602194,8/8/14
This Means War,17405930,3189,54760791,2/17/12
The Dictator,17435092,3008,59650222,5/16/12
"Yours, Mine and Ours",17461108,3206,53412862,11/23/05
Planes: Fire & Rescue,17509407,3826,59165787,7/18/14
The Smurfs 2,17548389,3866,71017784,7/31/13
The Sorcerer's Apprentice,17619622,3504,63150991,7/14/10
Max Payne,17639849,3376,40689393,10/17/08
Surf's Up,17640249,3528,58867694,6/8/07
Spirit: Stallion of the Cimarron,17770036,3317,73280117,5/24/02
Let's Be Cops,17813722,3094,82386141,8/13/14
Need for Speed,17844939,3115,43577636,3/14/14
The Guardian,18006064,3241,55011732,9/29/06
Final Destination 5,18031396,3155,42587643,8/12/11
Lady in the Water,18044396,3235,42285169,7/21/06
Red 2,18048422,3016,53262560,7/19/13
Sahara,18068372,3154,68671925,4/8/05
Mirror Mirror,18132085,3603,64935167,3/30/12
Cop Out,18211126,3150,44875481,2/26/10
Secret Window,18237568,3018,48022900,3/12/04
Yes Man,18262471,3434,97690976,12/19/08
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",18360230,3088,64190062,10/10/14
Mr. Popper's Penguins,18445355,3339,68224452,6/17/11
Fred Claus,18515473,3603,72006777,11/9/07
The Rundown,18553765,3152,47726342,9/26/03